C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Microsoft\VC\v170\Microsoft.CppBuild.targets(517,5): warning MSB8028: 중간 디렉터리(x64\Debug\)에 다른 프로젝트(Project2.vcxproj)에서 공유하는 파일이 포함되어 있습니다.  이로 인해 잘못된 정리 및 다시 빌드 동작이 수행될 수 있습니다.
  Source.cpp
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(68,21): warning C4305: '초기화 중': 'double'에서 'float'(으)로 잘립니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(69,25): warning C4305: '초기화 중': 'double'에서 'float'(으)로 잘립니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(503,12): warning C4244: '인수': 'time_t'에서 'unsigned int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(558,18): warning C4838: 'int'에서 'SHORT'(으)로의 변환에는 축소 변환이 필요합니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(558,23): warning C4838: 'int'에서 'SHORT'(으)로의 변환에는 축소 변환이 필요합니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(564,65): warning C4267: '인수': 'size_t'에서 'DWORD'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(1924,36): warning C4244: '=': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(1965,36): warning C4244: '=': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(2112,41): warning C4244: '=': 'double'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3001,22): warning C4244: '=': 'int'에서 'float'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3002,18): warning C4244: '=': 'int'에서 'float'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3059,39): warning C4244: '인수': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3059,23): warning C4244: '인수': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3064,40): warning C4244: '인수': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3064,23): warning C4244: '인수': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3069,39): warning C4244: '인수': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3069,23): warning C4244: '인수': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3136,25): warning C4244: '=': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3137,25): warning C4244: '=': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3192,19): warning C4244: '+=': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3193,19): warning C4244: '+=': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3196,21): warning C4305: '+=': 'double'에서 'float'(으)로 잘립니다.
C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\Project2\Source.cpp(3197,45): warning C4244: '=': 'float'에서 'int'(으)로 변환하면서 데이터가 손실될 수 있습니다.
  Project2.vcxproj -> C:\Users\Administrator\Desktop\새 폴더\MyProject\GameProject\x64\Debug\DeadLineGame.exe
